feature,gain,weight,cover
consecutive_fails,4791.24267578125,296.0,11201.296875
TC_DANGKY_current,2915.554443359375,2474.0,6981.8642578125
TC_GPA_interaction,2750.6826171875,2314.0,3855.61328125
fail_rate,1070.6846923828125,590.0,7509.88818359375
CPA_last,701.1616821289062,2322.0,3037.706787109375
TC_HT_last,490.0342712402344,1282.0,3161.9462890625
num_failed_semesters,401.24456787109375,197.0,7333.6953125
TC_load_ratio,373.7396545410156,1831.0,5863.60400390625
TC_HT_ratio_mean,363.1006164550781,2097.0,3113.34912109375
num_semesters,355.302734375,982.0,6200.89599609375
NAM_TUYENSINH,334.6416015625,979.0,5505.9580078125
KY_SO,277.64715576171875,177.0,7421.22021484375
TC_change,249.81051635742188,1414.0,4578.02197265625
PTXT_TE,232.33697509765625,314.0,5869.69091796875
TC_DANGKY_last,186.1131134033203,915.0,4177.228515625
DIEM_TRUNGTUYEN,183.22723388671875,2000.0,3576.20947265625
DIEM_CHUAN,162.0847930908203,2209.0,5046.45751953125
is_increasing_load,159.4799041748047,28.0,2270.142822265625
GPA_std,139.46287536621094,1215.0,3080.4033203125
TOHOP_TE,134.51715087890625,762.0,7274.1904296875
GPA_trend,125.51749420166016,1152.0,3949.0166015625
DIEM_LECH,118.44434356689453,1656.0,3495.111083984375
overload_risk,118.36470031738281,27.0,4447.0
